site_code,year,month,day,hour,minute,second,time,start_time,midpoint_time,time_decimal,time_interval,value,value_std_dev,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag,analysis_datetime,method,event_number,air_sample_container_id,unique_sample_location_num,obs_flag,obs_num,obspack_num,name,sector,site_name,site_country,site_elevation,dataset_project,lab_1_abbr,dataset_calibration_scale,altitude_comment,site_utc2lst,agl,type_altitude,altitude_final,id,pressure,source_id,timeUTC,timeUTC_start,timeUTC_end,dif_time,time_warning,year_end,month_end,day_end,hour_end,minute_end,second_end,local_time,lh,max_altitude
MLO,2019,12,3,20,18,0,1575404280,1575404280,1575404280,2019.9228652968,3600,1.90145e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967726,1,1329,3751529,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-03 20:18:00,2019-12-03 20:18:00,2019-12-03 21:18:00,1,all good,2019,12,3,21,18,0,2019-12-03 10:18:00,10,40
MLO,2019,12,3,20,33,0,1575405180,1575405180,1575405180,2019.92289383562,3600,1.90173e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967727,1,1330,3751530,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-03 20:33:00,2019-12-03 20:33:00,2019-12-03 21:33:00,1,all good,2019,12,3,21,33,0,2019-12-03 10:33:00,10,40
MLO,2019,12,17,20,44,0,1576615440,1576615440,1576615440,2019.96127092846,3600,1.90049e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967728,1,1331,3751531,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-17 20:44:00,2019-12-17 20:44:00,2019-12-17 21:44:00,1,all good,2019,12,17,21,44,0,2019-12-17 10:44:00,10,40
MLO,2019,12,17,21,1,0,1576616460,1576616460,1576616460,2019.96130327245,3600,1.90168e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967729,1,1332,3751532,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-17 21:01:00,2019-12-17 21:01:00,2019-12-17 22:01:00,1,all good,2019,12,17,22,1,0,2019-12-17 11:01:00,11,40
MLO,2020,1,2,21,35,0,1578000900,1578000900,1578000900,2020.00518935944,3600,1.90338e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915140,1,1333,3751533,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-02 21:35:00,2020-01-02 21:35:00,2020-01-02 22:35:00,1,all good,2020,1,2,22,35,0,2020-01-02 11:35:00,11,40
MLO,2020,1,2,21,50,0,1578001800,1578001800,1578001800,2020.00521782028,3600,1.90432e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915141,1,1334,3751534,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-02 21:50:00,2020-01-02 21:50:00,2020-01-02 22:50:00,1,all good,2020,1,2,22,50,0,2020-01-02 11:50:00,11,40
MLO,2020,1,14,20,11,0,1579032660,1579032660,1579032660,2020.037816864,3600,1.87876e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915142,1,1335,3751535,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-14 20:11:00,2020-01-14 20:11:00,2020-01-14 21:11:00,1,all good,2020,1,14,21,11,0,2020-01-14 10:11:00,10,40
MLO,2020,1,14,20,24,0,1579033440,1579033440,1579033440,2020.03784153005,3600,1.87756e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915143,1,1336,3751536,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-14 20:24:00,2020-01-14 20:24:00,2020-01-14 21:24:00,1,all good,2020,1,14,21,24,0,2020-01-14 10:24:00,10,40
MLO,2020,1,28,20,42,0,1580244120,1580244120,1580244120,2020.07612704918,3600,1.88595e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915144,1,1337,3751537,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-28 20:42:00,2020-01-28 20:42:00,2020-01-28 21:42:00,1,all good,2020,1,28,21,42,0,2020-01-28 10:42:00,10,40
MLO,2020,1,28,20,55,0,1580244900,1580244900,1580244900,2020.07615171524,3600,1.88642e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915145,1,1338,3751538,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-28 20:55:00,2020-01-28 20:55:00,2020-01-28 21:55:00,1,all good,2020,1,28,21,55,0,2020-01-28 10:55:00,10,40
