site_code year month day hour minute second latitude longitude altitude_final type_altitude
AirCoreNOAA 2019 12 18 19 48 38 40.0858 -104.1975 7977 1
AirCoreNOAA 2019 12 18 19 48 41 40.0859 -104.1970 7949 1
AirCoreNOAA 2019 12 18 19 48 45 40.0860 -104.1965 7923 1
AirCoreNOAA 2019 12 18 19 48 49 40.0862 -104.1960 7892 1
AirCoreNOAA 2019 12 18 19 48 52 40.0863 -104.1954 7867 1
AirCoreNOAA 2019 12 18 19 48 56 40.0864 -104.1949 7842 1
AirCoreNOAA 2019 12 18 19 49 00 40.0865 -104.1944 7811 1
AirCoreNOAA 2019 12 18 19 49 03 40.0866 -104.1939 7783 1
AirCoreNOAA 2019 12 18 19 49 07 40.0867 -104.1933 7754 1
AirCoreNOAA 2019 12 18 19 49 11 40.0868 -104.1928 7722 1
AirCoreNOAA 2019 12 18 19 49 14 40.0869 -104.1923 7697 1
AirCoreNOAA 2019 12 18 19 49 18 40.0870 -104.1917 7666 1
AirCoreNOAA 2019 12 18 19 49 22 40.0871 -104.1912 7636 1
AirCoreNOAA 2019 12 18 19 49 26 40.0872 -104.1907 7609 1
AirCoreNOAA 2019 12 18 19 49 29 40.0873 -104.1901 7576 1
AirCoreNOAA 2019 12 18 19 49 33 40.0874 -104.1896 7551 1
AirCoreNOAA 2019 12 18 19 49 37 40.0875 -104.1891 7521 1
AirCoreNOAA 2019 12 18 19 49 41 40.0876 -104.1886 7493 1
AirCoreNOAA 2019 12 18 19 49 44 40.0877 -104.1880 7467 1
AirCoreNOAA 2019 12 18 19 49 48 40.0878 -104.1875 7438 1
AirCoreNOAA 2019 12 18 19 49 52 40.0879 -104.1870 7410 1
AirCoreNOAA 2019 12 18 19 49 55 40.0880 -104.1864 7380 1
AirCoreNOAA 2019 12 18 19 49 59 40.0882 -104.1859 7357 1
AirCoreNOAA 2019 12 18 19 50 03 40.0883 -104.1854 7328 1
AirCoreNOAA 2019 12 18 19 50 07 40.0884 -104.1848 7298 1
AirCoreNOAA 2019 12 18 19 50 10 40.0885 -104.1843 7275 1
AirCoreNOAA 2019 12 18 19 50 14 40.0886 -104.1838 7245 1
AirCoreNOAA 2019 12 18 19 50 18 40.0887 -104.1832 7217 1
AirCoreNOAA 2019 12 18 19 50 21 40.0888 -104.1827 7194 1
AirCoreNOAA 2019 12 18 19 50 25 40.0889 -104.1822 7162 1
AirCoreNOAA 2019 12 18 19 50 29 40.0890 -104.1817 7131 1
AirCoreNOAA 2019 12 18 19 50 33 40.0891 -104.1811 7095 1
AirCoreNOAA 2019 12 18 19 50 36 40.0892 -104.1806 7063 1
AirCoreNOAA 2019 12 18 19 50 40 40.0893 -104.1800 7034 1
AirCoreNOAA 2019 12 18 19 50 44 40.0894 -104.1795 7009 1
AirCoreNOAA 2019 12 18 19 50 47 40.0895 -104.1790 6984 1
AirCoreNOAA 2019 12 18 19 50 51 40.0896 -104.1785 6955 1
AirCoreNOAA 2019 12 18 19 50 55 40.0897 -104.1780 6928 1
AirCoreNOAA 2019 12 18 19 50 58 40.0898 -104.1775 6902 1
AirCoreNOAA 2019 12 18 19 51 02 40.0899 -104.1770 6875 1
AirCoreNOAA 2019 12 18 19 51 05 40.0900 -104.1765 6847 1
AirCoreNOAA 2019 12 18 19 51 08 40.0901 -104.1760 6822 1
AirCoreNOAA 2019 12 18 19 51 12 40.0902 -104.1755 6792 1
AirCoreNOAA 2019 12 18 19 51 15 40.0903 -104.1751 6769 1
AirCoreNOAA 2019 12 18 19 51 18 40.0904 -104.1746 6744 1
AirCoreNOAA 2019 12 18 19 51 21 40.0905 -104.1741 6722 1
AirCoreNOAA 2019 12 18 19 51 25 40.0906 -104.1737 6699 1
AirCoreNOAA 2019 12 18 19 51 28 40.0907 -104.1732 6676 1
AirCoreNOAA 2019 12 18 19 51 32 40.0908 -104.1727 6654 1
AirCoreNOAA 2019 12 18 19 51 35 40.0909 -104.1722 6625 1
AirCoreNOAA 2019 12 18 19 51 38 40.0910 -104.1717 6597 1
AirCoreNOAA 2019 12 18 19 51 42 40.0911 -104.1712 6572 1
AirCoreNOAA 2019 12 18 19 51 45 40.0912 -104.1708 6546 1
AirCoreNOAA 2019 12 18 19 51 49 40.0913 -104.1703 6520 1
AirCoreNOAA 2019 12 18 19 51 52 40.0913 -104.1698 6497 1
AirCoreNOAA 2019 12 18 19 51 55 40.0914 -104.1693 6472 1
AirCoreNOAA 2019 12 18 19 51 59 40.0915 -104.1688 6446 1
AirCoreNOAA 2019 12 18 19 52 02 40.0916 -104.1683 6423 1
AirCoreNOAA 2019 12 18 19 52 06 40.0917 -104.1678 6396 1
AirCoreNOAA 2019 12 18 19 52 09 40.0918 -104.1674 6370 1
AirCoreNOAA 2019 12 18 19 52 12 40.0919 -104.1669 6345 1
AirCoreNOAA 2019 12 18 19 52 16 40.0920 -104.1664 6324 1
AirCoreNOAA 2019 12 18 19 52 19 40.0921 -104.1659 6296 1
AirCoreNOAA 2019 12 18 19 52 22 40.0922 -104.1654 6268 1
AirCoreNOAA 2019 12 18 19 52 26 40.0923 -104.1650 6243 1
AirCoreNOAA 2019 12 18 19 52 29 40.0924 -104.1645 6220 1
AirCoreNOAA 2019 12 18 19 52 32 40.0925 -104.1640 6197 1
AirCoreNOAA 2019 12 18 19 52 36 40.0926 -104.1636 6174 1
AirCoreNOAA 2019 12 18 19 52 39 40.0927 -104.1630 6150 1
AirCoreNOAA 2019 12 18 19 52 43 40.0928 -104.1626 6123 1
AirCoreNOAA 2019 12 18 19 52 46 40.0929 -104.1621 6098 1
AirCoreNOAA 2019 12 18 19 52 49 40.0930 -104.1616 6072 1
AirCoreNOAA 2019 12 18 19 52 53 40.0931 -104.1611 6049 1
AirCoreNOAA 2019 12 18 19 52 56 40.0932 -104.1606 6023 1
AirCoreNOAA 2019 12 18 19 53 00 40.0933 -104.1602 5997 1
AirCoreNOAA 2019 12 18 19 53 03 40.0934 -104.1597 5972 1
AirCoreNOAA 2019 12 18 19 53 06 40.0934 -104.1592 5950 1
AirCoreNOAA 2019 12 18 19 53 09 40.0935 -104.1587 5930 1
AirCoreNOAA 2019 12 18 19 53 13 40.0936 -104.1583 5908 1
AirCoreNOAA 2019 12 18 19 53 16 40.0937 -104.1578 5883 1
AirCoreNOAA 2019 12 18 19 53 19 40.0938 -104.1574 5860 1
AirCoreNOAA 2019 12 18 19 53 22 40.0939 -104.1569 5838 1
AirCoreNOAA 2019 12 18 19 53 26 40.0940 -104.1564 5816 1
AirCoreNOAA 2019 12 18 19 53 29 40.0941 -104.1560 5791 1
AirCoreNOAA 2019 12 18 19 53 32 40.0942 -104.1555 5768 1
AirCoreNOAA 2019 12 18 19 53 36 40.0943 -104.1550 5743 1
AirCoreNOAA 2019 12 18 19 53 39 40.0944 -104.1546 5718 1
AirCoreNOAA 2019 12 18 19 53 42 40.0945 -104.1541 5691 1
AirCoreNOAA 2019 12 18 19 53 45 40.0946 -104.1536 5666 1
AirCoreNOAA 2019 12 18 19 53 49 40.0946 -104.1532 5642 1
AirCoreNOAA 2019 12 18 19 53 52 40.0947 -104.1527 5618 1
AirCoreNOAA 2019 12 18 19 53 55 40.0948 -104.1522 5596 1
AirCoreNOAA 2019 12 18 19 53 59 40.0949 -104.1517 5573 1
AirCoreNOAA 2019 12 18 19 54 02 40.0950 -104.1512 5551 1
AirCoreNOAA 2019 12 18 19 54 06 40.0951 -104.1507 5529 1
AirCoreNOAA 2019 12 18 19 54 09 40.0952 -104.1502 5504 1
AirCoreNOAA 2019 12 18 19 54 13 40.0953 -104.1497 5482 1
AirCoreNOAA 2019 12 18 19 54 16 40.0954 -104.1492 5461 1
AirCoreNOAA 2019 12 18 19 54 20 40.0955 -104.1487 5437 1
AirCoreNOAA 2019 12 18 19 54 23 40.0956 -104.1482 5414 1
AirCoreNOAA 2019 12 18 19 54 27 40.0957 -104.1477 5388 1
AirCoreNOAA 2019 12 18 19 54 30 40.0958 -104.1472 5365 1
AirCoreNOAA 2019 12 18 19 54 34 40.0959 -104.1467 5340 1
AirCoreNOAA 2019 12 18 19 54 37 40.0960 -104.1463 5317 1
AirCoreNOAA 2019 12 18 19 54 41 40.0960 -104.1460 5290 1
AirCoreNOAA 2019 12 18 19 54 44 40.0961 -104.1457 5267 1
AirCoreNOAA 2019 12 18 19 54 47 40.0961 -104.1454 5245 1
AirCoreNOAA 2019 12 18 19 54 51 40.0962 -104.1450 5223 1
AirCoreNOAA 2019 12 18 19 54 54 40.0962 -104.1448 5202 1
AirCoreNOAA 2019 12 18 19 54 57 40.0962 -104.1446 5181 1
AirCoreNOAA 2019 12 18 19 55 00 40.0962 -104.1445 5161 1
AirCoreNOAA 2019 12 18 19 55 04 40.0962 -104.1442 5139 1
AirCoreNOAA 2019 12 18 19 55 07 40.0962 -104.1438 5116 1
AirCoreNOAA 2019 12 18 19 55 10 40.0963 -104.1435 5094 1
AirCoreNOAA 2019 12 18 19 55 14 40.0963 -104.1432 5072 1
AirCoreNOAA 2019 12 18 19 55 17 40.0963 -104.1430 5050 1
AirCoreNOAA 2019 12 18 19 55 20 40.0963 -104.1425 5028 1
AirCoreNOAA 2019 12 18 19 55 24 40.0964 -104.1421 5008 1
AirCoreNOAA 2019 12 18 19 55 27 40.0964 -104.1419 4984 1
AirCoreNOAA 2019 12 18 19 55 30 40.0964 -104.1416 4962 1
AirCoreNOAA 2019 12 18 19 55 34 40.0964 -104.1412 4939 1
AirCoreNOAA 2019 12 18 19 55 37 40.0964 -104.1410 4916 1
AirCoreNOAA 2019 12 18 19 55 41 40.0965 -104.1406 4895 1
AirCoreNOAA 2019 12 18 19 55 44 40.0965 -104.1400 4874 1
AirCoreNOAA 2019 12 18 19 55 48 40.0965 -104.1394 4853 1
AirCoreNOAA 2019 12 18 19 55 52 40.0964 -104.1390 4832 1
AirCoreNOAA 2019 12 18 19 55 55 40.0964 -104.1384 4810 1
AirCoreNOAA 2019 12 18 19 55 59 40.0965 -104.1380 4791 1
AirCoreNOAA 2019 12 18 19 56 02 40.0965 -104.1377 4767 1
AirCoreNOAA 2019 12 18 19 56 05 40.0965 -104.1374 4745 1
AirCoreNOAA 2019 12 18 19 56 09 40.0964 -104.1369 4721 1
AirCoreNOAA 2019 12 18 19 56 12 40.0963 -104.1363 4701 1
AirCoreNOAA 2019 12 18 19 56 16 40.0963 -104.1358 4679 1
AirCoreNOAA 2019 12 18 19 56 19 40.0964 -104.1354 4655 1
AirCoreNOAA 2019 12 18 19 56 23 40.0963 -104.1351 4636 1
AirCoreNOAA 2019 12 18 19 56 26 40.0963 -104.1348 4614 1
AirCoreNOAA 2019 12 18 19 56 30 40.0963 -104.1343 4588 1
AirCoreNOAA 2019 12 18 19 56 33 40.0963 -104.1341 4567 1
AirCoreNOAA 2019 12 18 19 56 37 40.0962 -104.1337 4547 1
AirCoreNOAA 2019 12 18 19 56 40 40.0962 -104.1332 4526 1
AirCoreNOAA 2019 12 18 19 56 44 40.0961 -104.1329 4500 1
AirCoreNOAA 2019 12 18 19 56 47 40.0960 -104.1323 4480 1
AirCoreNOAA 2019 12 18 19 56 51 40.0960 -104.1318 4461 1
AirCoreNOAA 2019 12 18 19 56 54 40.0960 -104.1315 4437 1
AirCoreNOAA 2019 12 18 19 56 58 40.0960 -104.1312 4416 1
AirCoreNOAA 2019 12 18 19 57 01 40.0960 -104.1310 4397 1
AirCoreNOAA 2019 12 18 19 57 04 40.0959 -104.1307 4376 1
AirCoreNOAA 2019 12 18 19 57 07 40.0958 -104.1303 4355 1
AirCoreNOAA 2019 12 18 19 57 11 40.0958 -104.1298 4333 1
AirCoreNOAA 2019 12 18 19 57 14 40.0959 -104.1295 4313 1
AirCoreNOAA 2019 12 18 19 57 17 40.0959 -104.1293 4293 1
AirCoreNOAA 2019 12 18 19 57 20 40.0960 -104.1291 4274 1
AirCoreNOAA 2019 12 18 19 57 23 40.0960 -104.1288 4254 1
AirCoreNOAA 2019 12 18 19 57 26 40.0960 -104.1283 4232 1
AirCoreNOAA 2019 12 18 19 57 30 40.0960 -104.1280 4213 1
AirCoreNOAA 2019 12 18 19 57 33 40.0961 -104.1278 4191 1
AirCoreNOAA 2019 12 18 19 57 36 40.0962 -104.1274 4171 1
AirCoreNOAA 2019 12 18 19 57 40 40.0963 -104.1272 4151 1
AirCoreNOAA 2019 12 18 19 57 43 40.0963 -104.1268 4129 1
AirCoreNOAA 2019 12 18 19 57 46 40.0963 -104.1265 4109 1
AirCoreNOAA 2019 12 18 19 57 49 40.0963 -104.1260 4084 1
AirCoreNOAA 2019 12 18 19 57 53 40.0962 -104.1258 4062 1
AirCoreNOAA 2019 12 18 19 57 56 40.0964 -104.1255 4040 1
AirCoreNOAA 2019 12 18 19 57 59 40.0965 -104.1252 4019 1
AirCoreNOAA 2019 12 18 19 58 02 40.0966 -104.1249 3998 1
AirCoreNOAA 2019 12 18 19 58 06 40.0966 -104.1245 3978 1
AirCoreNOAA 2019 12 18 19 58 09 40.0965 -104.1240 3956 1
AirCoreNOAA 2019 12 18 19 58 12 40.0966 -104.1236 3937 1
AirCoreNOAA 2019 12 18 19 58 16 40.0967 -104.1232 3916 1
AirCoreNOAA 2019 12 18 19 58 19 40.0967 -104.1228 3896 1
AirCoreNOAA 2019 12 18 19 58 22 40.0968 -104.1224 3875 1
AirCoreNOAA 2019 12 18 19 58 26 40.0970 -104.1220 3852 1
AirCoreNOAA 2019 12 18 19 58 29 40.0972 -104.1216 3832 1
AirCoreNOAA 2019 12 18 19 58 33 40.0972 -104.1213 3810 1
AirCoreNOAA 2019 12 18 19 58 36 40.0973 -104.1211 3788 1
AirCoreNOAA 2019 12 18 19 58 39 40.0975 -104.1208 3769 1
AirCoreNOAA 2019 12 18 19 58 42 40.0977 -104.1203 3752 1
AirCoreNOAA 2019 12 18 19 58 45 40.0979 -104.1199 3734 1
AirCoreNOAA 2019 12 18 19 58 48 40.0980 -104.1196 3714 1
AirCoreNOAA 2019 12 18 19 58 51 40.0981 -104.1192 3690 1
AirCoreNOAA 2019 12 18 19 58 55 40.0983 -104.1188 3672 1
AirCoreNOAA 2019 12 18 19 58 57 40.0985 -104.1186 3652 1
AirCoreNOAA 2019 12 18 19 59 00 40.0987 -104.1184 3634 1
AirCoreNOAA 2019 12 18 19 59 04 40.0988 -104.1181 3614 1
AirCoreNOAA 2019 12 18 19 59 07 40.0990 -104.1177 3594 1
AirCoreNOAA 2019 12 18 19 59 10 40.0991 -104.1174 3574 1
AirCoreNOAA 2019 12 18 19 59 13 40.0992 -104.1173 3554 1
AirCoreNOAA 2019 12 18 19 59 16 40.0994 -104.1171 3535 1
AirCoreNOAA 2019 12 18 19 59 19 40.0996 -104.1170 3518 1
AirCoreNOAA 2019 12 18 19 59 22 40.0997 -104.1168 3499 1
AirCoreNOAA 2019 12 18 19 59 24 40.0998 -104.1165 3480 1
AirCoreNOAA 2019 12 18 19 59 27 40.1001 -104.1162 3462 1
AirCoreNOAA 2019 12 18 19 59 31 40.1002 -104.1159 3443 1
AirCoreNOAA 2019 12 18 19 59 34 40.1004 -104.1157 3423 1
AirCoreNOAA 2019 12 18 19 59 37 40.1005 -104.1156 3404 1
AirCoreNOAA 2019 12 18 19 59 40 40.1007 -104.1153 3383 1
AirCoreNOAA 2019 12 18 19 59 43 40.1008 -104.1152 3363 1
AirCoreNOAA 2019 12 18 19 59 46 40.1008 -104.1152 3344 1
AirCoreNOAA 2019 12 18 19 59 49 40.1009 -104.1151 3324 1
AirCoreNOAA 2019 12 18 19 59 52 40.1009 -104.1151 3302 1
AirCoreNOAA 2019 12 18 19 59 55 40.1010 -104.1150 3282 1
AirCoreNOAA 2019 12 18 19 59 58 40.1010 -104.1150 3262 1
AirCoreNOAA 2019 12 18 20 00 00 40.1010 -104.1150 3244 1
AirCoreNOAA 2019 12 18 20 00 03 40.1011 -104.1149 3227 1
AirCoreNOAA 2019 12 18 20 00 06 40.1011 -104.1149 3206 1
AirCoreNOAA 2019 12 18 20 00 09 40.1012 -104.1149 3188 1
AirCoreNOAA 2019 12 18 20 00 12 40.1012 -104.1148 3168 1
AirCoreNOAA 2019 12 18 20 00 15 40.1013 -104.1148 3148 1
AirCoreNOAA 2019 12 18 20 00 18 40.1013 -104.1148 3130 1
AirCoreNOAA 2019 12 18 20 00 21 40.1013 -104.1147 3108 1
AirCoreNOAA 2019 12 18 20 00 24 40.1014 -104.1147 3085 1
AirCoreNOAA 2019 12 18 20 00 28 40.1014 -104.1146 3064 1
AirCoreNOAA 2019 12 18 20 00 31 40.1015 -104.1146 3047 1
AirCoreNOAA 2019 12 18 20 00 34 40.1016 -104.1145 3030 1
AirCoreNOAA 2019 12 18 20 00 37 40.1016 -104.1145 3012 1
AirCoreNOAA 2019 12 18 20 00 40 40.1016 -104.1144 2994 1
AirCoreNOAA 2019 12 18 20 00 43 40.1017 -104.1144 2977 1
AirCoreNOAA 2019 12 18 20 00 46 40.1017 -104.1144 2958 1
AirCoreNOAA 2019 12 18 20 00 50 40.1018 -104.1143 2942 1
AirCoreNOAA 2019 12 18 20 00 53 40.1018 -104.1143 2925 1
AirCoreNOAA 2019 12 18 20 00 57 40.1019 -104.1142 2906 1
AirCoreNOAA 2019 12 18 20 01 00 40.1020 -104.1142 2887 1
AirCoreNOAA 2019 12 18 20 01 04 40.1020 -104.1141 2869 1
AirCoreNOAA 2019 12 18 20 01 07 40.1021 -104.1141 2850 1
AirCoreNOAA 2019 12 18 20 01 11 40.1021 -104.1140 2832 1
AirCoreNOAA 2019 12 18 20 01 15 40.1022 -104.1140 2807 1
AirCoreNOAA 2019 12 18 20 01 19 40.1022 -104.1139 2786 1
AirCoreNOAA 2019 12 18 20 01 23 40.1023 -104.1139 2766 1
AirCoreNOAA 2019 12 18 20 01 27 40.1024 -104.1138 2748 1
AirCoreNOAA 2019 12 18 20 01 30 40.1024 -104.1138 2730 1
AirCoreNOAA 2019 12 18 20 01 33 40.1024 -104.1137 2712 1
AirCoreNOAA 2019 12 18 20 01 37 40.1025 -104.1137 2695 1
AirCoreNOAA 2019 12 18 20 01 40 40.1026 -104.1137 2677 1
AirCoreNOAA 2019 12 18 20 01 43 40.1026 -104.1136 2661 1
AirCoreNOAA 2019 12 18 20 01 46 40.1026 -104.1136 2641 1
AirCoreNOAA 2019 12 18 20 01 49 40.1027 -104.1135 2622 1
AirCoreNOAA 2019 12 18 20 01 53 40.1027 -104.1135 2604 1
AirCoreNOAA 2019 12 18 20 01 56 40.1028 -104.1134 2585 1
AirCoreNOAA 2019 12 18 20 01 59 40.1028 -104.1134 2566 1
AirCoreNOAA 2019 12 18 20 02 03 40.1029 -104.1134 2549 1
AirCoreNOAA 2019 12 18 20 02 06 40.1029 -104.1133 2530 1
AirCoreNOAA 2019 12 18 20 02 09 40.1030 -104.1133 2508 1
AirCoreNOAA 2019 12 18 20 02 13 40.1031 -104.1132 2490 1
AirCoreNOAA 2019 12 18 20 02 16 40.1031 -104.1132 2471 1
AirCoreNOAA 2019 12 18 20 02 20 40.1032 -104.1131 2453 1
AirCoreNOAA 2019 12 18 20 02 23 40.1032 -104.1131 2436 1
AirCoreNOAA 2019 12 18 20 02 26 40.1033 -104.1130 2417 1
AirCoreNOAA 2019 12 18 20 02 29 40.1033 -104.1130 2396 1
AirCoreNOAA 2019 12 18 20 02 33 40.1034 -104.1130 2380 1
AirCoreNOAA 2019 12 18 20 02 36 40.1034 -104.1129 2363 1
AirCoreNOAA 2019 12 18 20 02 39 40.1035 -104.1129 2345 1
AirCoreNOAA 2019 12 18 20 02 42 40.1035 -104.1128 2325 1
AirCoreNOAA 2019 12 18 20 02 46 40.1036 -104.1128 2306 1
AirCoreNOAA 2019 12 18 20 02 49 40.1036 -104.1127 2287 1
AirCoreNOAA 2019 12 18 20 02 53 40.1037 -104.1127 2265 1
AirCoreNOAA 2019 12 18 20 02 56 40.1037 -104.1126 2246 1
AirCoreNOAA 2019 12 18 20 03 00 40.1038 -104.1126 2227 1
AirCoreNOAA 2019 12 18 20 03 03 40.1038 -104.1126 2208 1
AirCoreNOAA 2019 12 18 20 03 06 40.1038 -104.1125 2192 1
AirCoreNOAA 2019 12 18 20 03 09 40.1039 -104.1125 2175 1
AirCoreNOAA 2019 12 18 20 03 12 40.1039 -104.1124 2159 1
AirCoreNOAA 2019 12 18 20 03 15 40.1040 -104.1124 2143 1
AirCoreNOAA 2019 12 18 20 03 18 40.1040 -104.1123 2122 1
AirCoreNOAA 2019 12 18 20 03 22 40.1041 -104.1123 2102 1
AirCoreNOAA 2019 12 18 20 03 25 40.1041 -104.1122 2085 1
AirCoreNOAA 2019 12 18 20 03 28 40.1042 -104.1122 2068 1
AirCoreNOAA 2019 12 18 20 03 31 40.1042 -104.1122 2052 1
AirCoreNOAA 2019 12 18 20 03 34 40.1043 -104.1121 2034 1
AirCoreNOAA 2019 12 18 20 03 38 40.1043 -104.1121 2012 1
AirCoreNOAA 2019 12 18 20 03 41 40.1044 -104.1120 1995 1
AirCoreNOAA 2019 12 18 20 03 44 40.1044 -104.1120 1980 1
AirCoreNOAA 2019 12 18 20 03 47 40.1045 -104.1120 1961 1
AirCoreNOAA 2019 12 18 20 03 50 40.1045 -104.1119 1946 1
AirCoreNOAA 2019 12 18 20 03 53 40.1046 -104.1119 1928 1
AirCoreNOAA 2019 12 18 20 03 56 40.1046 -104.1118 1911 1
AirCoreNOAA 2019 12 18 20 03 59 40.1047 -104.1118 1893 1
AirCoreNOAA 2019 12 18 20 04 02 40.1047 -104.1118 1877 1
AirCoreNOAA 2019 12 18 20 04 04 40.1047 -104.1117 1861 1
AirCoreNOAA 2019 12 18 20 04 08 40.1048 -104.1117 1844 1
AirCoreNOAA 2019 12 18 20 04 11 40.1048 -104.1116 1825 1
AirCoreNOAA 2019 12 18 20 04 14 40.1049 -104.1116 1809 1
AirCoreNOAA 2019 12 18 20 04 17 40.1049 -104.1116 1790 1
AirCoreNOAA 2019 12 18 20 04 20 40.1050 -104.1115 1774 1
AirCoreNOAA 2019 12 18 20 04 23 40.1050 -104.1115 1758 1
AirCoreNOAA 2019 12 18 20 04 27 40.1051 -104.1114 1740 1
AirCoreNOAA 2019 12 18 20 04 30 40.1051 -104.1114 1722 1
AirCoreNOAA 2019 12 18 20 04 33 40.1052 -104.1114 1707 1
AirCoreNOAA 2019 12 18 20 04 36 40.1052 -104.1113 1690 1
AirCoreNOAA 2019 12 18 20 04 39 40.1053 -104.1113 1674 1
AirCoreNOAA 2019 12 18 20 04 42 40.1053 -104.1112 1658 1
AirCoreNOAA 2020 01 30 19 37 28 39.6826 -103.7719 7974 1
AirCoreNOAA 2020 01 30 19 37 32 39.6820 -103.7713 7941 1
AirCoreNOAA 2020 01 30 19 37 36 39.6815 -103.7708 7910 1
AirCoreNOAA 2020 01 30 19 37 40 39.6808 -103.7703 7880 1
AirCoreNOAA 2020 01 30 19 37 43 39.6804 -103.7696 7853 1
