site_code year month day hour minute second latitude longitude altitude_final type_altitude
IAGOS 2020 01 08 22 59 40 34.4790 -116.4090 7983 1
IAGOS 2020 01 08 23 00 00 34.4675 -116.4360 7907 1
IAGOS 2020 01 08 23 00 20 34.4525 -116.4720 7796 1
IAGOS 2020 01 08 23 00 40 34.4375 -116.5075 7615 1
IAGOS 2020 01 08 23 01 00 34.4225 -116.5430 7414 1
IAGOS 2020 01 08 23 01 20 34.4085 -116.5790 7211 1
IAGOS 2020 01 08 23 01 40 34.3945 -116.6135 7001 1
IAGOS 2020 01 08 23 02 00 34.3810 -116.6470 6793 1
IAGOS 2020 01 08 23 02 20 34.3680 -116.6790 6590 1
IAGOS 2020 01 08 23 02 40 34.3550 -116.7110 6387 1
IAGOS 2020 01 08 23 03 00 34.3425 -116.7425 6187 1
IAGOS 2020 01 08 23 03 20 34.3300 -116.7735 5986 1
IAGOS 2020 01 08 23 03 40 34.3170 -116.8050 5784 1
IAGOS 2020 01 08 23 04 00 34.3060 -116.8370 5570 1
IAGOS 2020 01 08 23 04 20 34.2970 -116.8690 5416 1
IAGOS 2020 01 08 23 04 40 34.2885 -116.9000 5317 1
IAGOS 2020 01 08 23 05 00 34.2800 -116.9310 5265 1
IAGOS 2020 01 08 23 05 20 34.2715 -116.9620 5234 1
IAGOS 2020 01 08 23 05 40 34.2630 -116.9930 5203 1
IAGOS 2020 01 08 23 06 00 34.2550 -117.0235 5138 1
IAGOS 2020 01 08 23 06 20 34.2465 -117.0545 5024 1
IAGOS 2020 01 08 23 06 40 34.2380 -117.0845 4875 1
IAGOS 2020 01 08 23 07 00 34.2295 -117.1145 4723 1
IAGOS 2020 01 08 23 07 20 34.2210 -117.1445 4566 1
IAGOS 2020 01 08 23 07 40 34.2130 -117.1740 4413 1
IAGOS 2020 01 08 23 08 00 34.2050 -117.2030 4269 1
IAGOS 2020 01 08 23 08 20 34.1970 -117.2320 4168 1
IAGOS 2020 01 08 23 08 40 34.1900 -117.2615 4045 1
IAGOS 2020 01 08 23 09 00 34.1825 -117.2915 3924 1
IAGOS 2020 01 08 23 09 20 34.1750 -117.3215 3803 1
IAGOS 2020 01 08 23 09 40 34.1675 -117.3515 3680 1
IAGOS 2020 01 08 23 10 00 34.1600 -117.3805 3559 1
IAGOS 2020 01 08 23 10 20 34.1525 -117.4100 3437 1
IAGOS 2020 01 08 23 10 40 34.1450 -117.4385 3318 1
IAGOS 2020 01 08 23 11 00 34.1380 -117.4670 3212 1
IAGOS 2020 01 08 23 11 20 34.1305 -117.4950 3111 1
IAGOS 2020 01 08 23 11 40 34.1235 -117.5235 3053 1
IAGOS 2020 01 08 23 12 00 34.1180 -117.5525 3009 1
IAGOS 2020 01 08 23 12 20 34.1150 -117.5810 2901 1
IAGOS 2020 01 08 23 12 40 34.1125 -117.6075 2785 1
IAGOS 2020 01 08 23 13 00 34.1105 -117.6330 2642 1
IAGOS 2020 01 08 23 13 20 34.1075 -117.6585 2492 1
IAGOS 2020 01 08 23 13 40 34.1050 -117.6845 2380 1
IAGOS 2020 01 08 23 14 00 34.1025 -117.7095 2287 1
IAGOS 2020 01 08 23 14 20 34.1000 -117.7355 2157 1
IAGOS 2020 01 08 23 14 40 34.0975 -117.7605 2024 1
IAGOS 2020 01 08 23 15 00 34.0945 -117.7860 1906 1
IAGOS 2020 01 08 23 15 20 34.0925 -117.8095 1840 1
IAGOS 2020 01 08 23 15 40 34.0905 -117.8315 1798 1
IAGOS 2020 01 08 23 16 00 34.0885 -117.8525 1707 1
IAGOS 2020 01 08 23 16 20 34.0860 -117.8745 1573 1
IAGOS 2020 01 08 23 16 40 34.0835 -117.8955 1455 1
IAGOS 2020 01 08 23 17 00 34.0815 -117.9160 1358 1
IAGOS 2020 01 08 23 17 20 34.0795 -117.9370 1292 1
IAGOS 2020 01 08 23 17 40 34.0775 -117.9560 1242 1
IAGOS 2020 01 08 23 18 00 34.0755 -117.9760 1220 1
IAGOS 2020 01 08 23 18 20 34.0735 -117.9955 1220 1
IAGOS 2020 01 08 23 18 40 34.0715 -118.0155 1172 1
IAGOS 2020 01 08 23 19 00 34.0695 -118.0340 1069 1
IAGOS 2020 01 08 23 19 20 34.0675 -118.0545 970 1
IAGOS 2020 01 08 23 19 40 34.0655 -118.0740 870 1
IAGOS 2020 01 08 23 20 00 34.0635 -118.0935 769 1
IAGOS 2020 01 08 23 20 20 34.0615 -118.1120 667 1
IAGOS 2020 01 08 23 20 40 34.0600 -118.1260 596 1
IAGOS 2020 03 02 22 38 40 34.5915 -116.3665 7968 1
IAGOS 2020 03 02 22 39 00 34.5585 -116.4085 7854 1
IAGOS 2020 03 02 22 39 20 34.5260 -116.4495 7760 1
IAGOS 2020 03 02 22 39 40 34.4930 -116.4905 7676 1
IAGOS 2020 03 02 22 40 00 34.4630 -116.5340 7565 1
IAGOS 2020 03 02 22 40 20 34.4385 -116.5815 7458 1
IAGOS 2020 03 02 22 40 40 34.4175 -116.6305 7370 1
IAGOS 2020 03 02 22 41 00 34.3965 -116.6805 7334 1
IAGOS 2020 03 02 22 41 20 34.3765 -116.7305 7326 1
IAGOS 2020 03 02 22 41 40 34.3555 -116.7805 7248 1
IAGOS 2020 03 02 22 42 00 34.3355 -116.8305 7018 1
IAGOS 2020 03 02 22 42 20 34.3160 -116.8790 6772 1
IAGOS 2020 03 02 22 42 40 34.2965 -116.9280 6534 1
IAGOS 2020 03 02 22 43 00 34.2770 -116.9760 6339 1
IAGOS 2020 03 02 22 43 20 34.2585 -117.0235 6126 1
