site_code year month day hour minute second latitude longitude altitude_final type_altitude
MLO 2019 12 03 20 18 00 19.5360 -155.5760 38 0
MLO 2019 12 03 20 33 00 19.5360 -155.5760 38 0
MLO 2019 12 17 20 44 00 19.5360 -155.5760 38 0
MLO 2019 12 17 21 01 00 19.5360 -155.5760 38 0
MLO 2020 01 02 21 35 00 19.5360 -155.5760 38 0
MLO 2020 01 02 21 50 00 19.5360 -155.5760 38 0
MLO 2020 01 14 20 11 00 19.5360 -155.5760 38 0
MLO 2020 01 14 20 24 00 19.5360 -155.5760 38 0
MLO 2020 01 28 20 42 00 19.5360 -155.5760 38 0
MLO 2020 01 28 20 55 00 19.5360 -155.5760 38 0
MLO 2020 02 13 20 11 00 19.5360 -155.5760 38 0
MLO 2020 02 13 20 23 00 19.5360 -155.5760 38 0
MLO 2020 02 25 20 42 00 19.5360 -155.5760 38 0
MLO 2020 02 25 20 58 00 19.5360 -155.5760 38 0
MLO 2020 03 12 19 52 00 19.5360 -155.5760 38 0
MLO 2020 03 12 20 04 00 19.5360 -155.5760 38 0
MLO 2020 03 20 20 43 00 19.5360 -155.5760 38 0
MLO 2020 03 20 20 59 00 19.5360 -155.5760 38 0
MLO 2020 04 07 20 44 00 19.5360 -155.5760 38 0
MLO 2020 04 07 20 58 00 19.5360 -155.5760 38 0
MLO 2020 04 21 19 51 00 19.5360 -155.5760 38 0
MLO 2020 04 21 20 03 00 19.5360 -155.5760 38 0
MLO 2020 05 05 20 20 00 19.5360 -155.5760 38 0
MLO 2020 05 05 20 33 00 19.5360 -155.5760 38 0
MLO 2020 05 19 20 38 00 19.5360 -155.5760 38 0
MLO 2020 05 19 20 51 00 19.5360 -155.5760 38 0
MLO 2020 06 02 20 19 00 19.5360 -155.5760 38 0
MLO 2020 06 02 20 31 00 19.5360 -155.5760 38 0
MLO 2020 06 16 20 37 00 19.5360 -155.5760 38 0
MLO 2020 06 16 20 48 00 19.5360 -155.5760 38 0
MLO 2020 06 30 20 38 00 19.5360 -155.5760 38 0
MLO 2020 06 30 20 51 00 19.5360 -155.5760 38 0
MLO 2020 07 14 20 09 00 19.5360 -155.5760 38 0
MLO 2020 07 14 20 28 00 19.5360 -155.5760 38 0
MLO 2020 07 28 19 25 00 19.5360 -155.5760 38 0
MLO 2020 07 28 19 40 00 19.5360 -155.5760 38 0
MLO 2020 08 11 19 54 00 19.5360 -155.5760 38 0
MLO 2020 08 11 20 06 00 19.5360 -155.5760 38 0
MLO 2020 08 25 20 26 00 19.5360 -155.5760 38 0
MLO 2020 08 25 20 38 00 19.5360 -155.5760 38 0
MLO 2020 09 08 20 31 00 19.5360 -155.5760 38 0
MLO 2020 09 08 20 45 00 19.5360 -155.5760 38 0
MLO 2020 09 22 20 23 00 19.5360 -155.5760 38 0
MLO 2020 09 22 20 37 00 19.5360 -155.5760 38 0
MLO 2020 10 06 20 21 00 19.5360 -155.5760 38 0
MLO 2020 10 06 20 33 00 19.5360 -155.5760 38 0
MLO 2020 10 20 20 48 00 19.5360 -155.5760 38 0
MLO 2020 10 20 21 02 00 19.5360 -155.5760 38 0
MLO 2020 11 03 20 15 00 19.5360 -155.5760 38 0
MLO 2020 11 03 20 31 00 19.5360 -155.5760 38 0
MLO 2020 11 17 19 53 00 19.5360 -155.5760 38 0
MLO 2020 11 17 20 08 00 19.5360 -155.5760 38 0
MLO 2020 12 01 19 39 00 19.5360 -155.5760 38 0
MLO 2020 12 01 19 51 00 19.5360 -155.5760 38 0
MLO 2020 12 15 20 50 00 19.5360 -155.5760 38 0
MLO 2020 12 15 21 04 00 19.5360 -155.5760 38 0
MLO 2020 12 31 18 47 00 19.5360 -155.5760 38 0
MLO 2020 12 31 18 59 00 19.5360 -155.5760 38 0
